============================================================
                  驾驶员监控会话报告
============================================================
 报告生成时间: 2026-05-11 00:00:44
 本次驾驶总长: 13 分 55 秒
------------------------------------------------------------
 疲劳事件触发: 213 次
 分心事件触发: 364 次
------------------------------------------------------------
【事件追溯 / Event Tracking】
 88. 2026-05-10 23:49:49 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 89. 2026-05-10 23:49:51 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 90. 2026-05-10 23:49:53 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 91. 2026-05-10 23:49:55 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 92. 2026-05-10 23:49:57 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 93. 2026-05-10 23:49:59 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 94. 2026-05-10 23:50:01 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 95. 2026-05-10 23:50:03 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 96. 2026-05-10 23:50:05 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 97. 2026-05-10 23:50:07 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 98. 2026-05-10 23:50:09 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 99. 2026-05-10 23:50:11 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 100. 2026-05-10 23:50:13 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 101. 2026-05-10 23:50:15 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 102. 2026-05-10 23:50:17 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 103. 2026-05-10 23:50:19 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 104. 2026-05-10 23:50:21 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 105. 2026-05-10 23:50:23 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 106. 2026-05-10 23:50:25 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 107. 2026-05-10 23:50:27 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 108. 2026-05-10 23:50:29 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 109. 2026-05-10 23:50:31 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 110. 2026-05-10 23:50:34 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 111. 2026-05-10 23:50:36 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 112. 2026-05-10 23:50:38 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 113. 2026-05-10 23:50:40 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 114. 2026-05-10 23:50:42 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 115. 2026-05-10 23:50:44 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 116. 2026-05-10 23:50:46 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 117. 2026-05-10 23:50:48 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 118. 2026-05-10 23:50:50 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 119. 2026-05-10 23:50:52 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 120. 2026-05-10 23:50:54 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 121. 2026-05-10 23:50:56 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 122. 2026-05-10 23:50:58 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 123. 2026-05-10 23:51:00 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 124. 2026-05-10 23:51:02 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 125. 2026-05-10 23:51:04 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 126. 2026-05-10 23:51:06 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 127. 2026-05-10 23:51:08 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 128. 2026-05-10 23:51:10 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 129. 2026-05-10 23:51:12 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 130. 2026-05-10 23:51:14 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 131. 2026-05-10 23:51:16 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 132. 2026-05-10 23:51:18 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 133. 2026-05-10 23:51:20 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 134. 2026-05-10 23:51:22 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 135. 2026-05-10 23:51:24 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 136. 2026-05-10 23:51:26 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 137. 2026-05-10 23:51:29 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 138. 2026-05-10 23:51:31 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 139. 2026-05-10 23:51:33 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 140. 2026-05-10 23:51:35 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 141. 2026-05-10 23:51:37 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 142. 2026-05-10 23:51:39 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 143. 2026-05-10 23:51:41 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 144. 2026-05-10 23:51:43 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 145. 2026-05-10 23:51:45 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 146. 2026-05-10 23:51:47 | [一般] 行为: 打电话      | 疲劳: 人员特征未对齐/光线过暗
 147. 2026-05-10 23:51:50 | [严重] 行为: 与乘客交谈    | 疲劳: 极度疲劳 (PERCLOS超标)
 148. 2026-05-10 23:51:52 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 149. 2026-05-10 23:51:54 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 150. 2026-05-10 23:51:56 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 151. 2026-05-10 23:51:58 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 152. 2026-05-10 23:52:01 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 153. 2026-05-10 23:52:03 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 154. 2026-05-10 23:52:05 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 155. 2026-05-10 23:52:07 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 156. 2026-05-10 23:52:10 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 157. 2026-05-10 23:52:12 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 158. 2026-05-10 23:52:14 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 159. 2026-05-10 23:52:16 | [严重] 行为: 整理仪容     | 疲劳: 极度疲劳 (PERCLOS超标)
 160. 2026-05-10 23:52:18 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 161. 2026-05-10 23:52:20 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳 (PERCLOS超标)
 162. 2026-05-10 23:52:23 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳 (PERCLOS超标)
 163. 2026-05-10 23:52:25 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳 (PERCLOS超标)
 164. 2026-05-10 23:52:28 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 165. 2026-05-10 23:52:30 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 166. 2026-05-10 23:52:33 | [严重] 行为: 与乘客交谈    | 疲劳: 极度疲劳 (PERCLOS超标)
 167. 2026-05-10 23:52:35 | [严重] 行为: 与乘客交谈    | 疲劳: 极度疲劳 (PERCLOS超标)
 168. 2026-05-10 23:52:37 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 169. 2026-05-10 23:52:39 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳 (PERCLOS超标)
 170. 2026-05-10 23:52:41 | [一般] 行为: 向后取物     | 疲劳: 正常
 171. 2026-05-10 23:52:43 | [一般] 行为: 向后取物     | 疲劳: 正常
 172. 2026-05-10 23:52:48 | [一般] 行为: 向后取物     | 疲劳: 正常
 173. 2026-05-10 23:52:50 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 174. 2026-05-10 23:52:52 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 175. 2026-05-10 23:52:54 | [一般] 行为: 向后取物     | 疲劳: 正常
 176. 2026-05-10 23:52:56 | [一般] 行为: 向后取物     | 疲劳: 正常
 177. 2026-05-10 23:52:58 | [严重] 行为: 向后取物     | 疲劳: 闭眼
 178. 2026-05-10 23:53:00 | [严重] 行为: 向后取物     | 疲劳: 闭眼
 179. 2026-05-10 23:53:02 | [严重] 行为: 向后取物     | 疲劳: 闭眼
 180. 2026-05-10 23:53:05 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳
 181. 2026-05-10 23:53:08 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳
 182. 2026-05-10 23:53:10 | [严重] 行为: 向后取物     | 疲劳: 极度疲劳
 183. 2026-05-10 23:53:12 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 184. 2026-05-10 23:53:14 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 185. 2026-05-10 23:53:16 | [一般] 行为: 向后取物     | 疲劳: 正常
 186. 2026-05-10 23:53:18 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 187. 2026-05-10 23:53:20 | [一般] 行为: 向后取物     | 疲劳: 正常
 188. 2026-05-10 23:53:22 | [一般] 行为: 向后取物     | 疲劳: 正常
 189. 2026-05-10 23:53:24 | [一般] 行为: 整理仪容     | 疲劳: 正常
 190. 2026-05-10 23:53:26 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 191. 2026-05-10 23:53:28 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 192. 2026-05-10 23:53:30 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 193. 2026-05-10 23:53:32 | [一般] 行为: 整理仪容     | 疲劳: 正常
 194. 2026-05-10 23:53:34 | [一般] 行为: 疑似打电话    | 疲劳: 正常
 195. 2026-05-10 23:53:36 | [一般] 行为: 喝水       | 疲劳: 正常
 196. 2026-05-10 23:53:38 | [一般] 行为: 向后取物     | 疲劳: 正常
 197. 2026-05-10 23:53:40 | [一般] 行为: 向后取物     | 疲劳: 正常
 198. 2026-05-10 23:53:42 | [一般] 行为: 向后取物     | 疲劳: 正常
 199. 2026-05-10 23:53:44 | [一般] 行为: 向后取物     | 疲劳: 正常
 200. 2026-05-10 23:53:47 | [一般] 行为: 向后取物     | 疲劳: 正常
 201. 2026-05-10 23:53:49 | [一般] 行为: 向后取物     | 疲劳: 正常
 202. 2026-05-10 23:53:52 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 203. 2026-05-10 23:53:54 | [一般] 行为: 整理仪容     | 疲劳: 正常
 204. 2026-05-10 23:53:56 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 205. 2026-05-10 23:53:58 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 206. 2026-05-10 23:54:00 | [一般] 行为: 向后取物     | 疲劳: 正常
 207. 2026-05-10 23:54:02 | [一般] 行为: 向后取物     | 疲劳: 正常
 208. 2026-05-10 23:54:04 | [一般] 行为: 向后取物     | 疲劳: 正常
 209. 2026-05-10 23:54:06 | [一般] 行为: 向后取物     | 疲劳: 正常
 210. 2026-05-10 23:54:09 | [一般] 行为: 向后取物     | 疲劳: 正常
 211. 2026-05-10 23:54:11 | [一般] 行为: 向后取物     | 疲劳: 正常
 212. 2026-05-10 23:54:13 | [一般] 行为: 向后取物     | 疲劳: 正常
 213. 2026-05-10 23:54:15 | [一般] 行为: 向后取物     | 疲劳: 正常
 214. 2026-05-10 23:54:17 | [一般] 行为: 向后取物     | 疲劳: 正常
 215. 2026-05-10 23:54:19 | [一般] 行为: 向后取物     | 疲劳: 正常
 216. 2026-05-10 23:54:21 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 217. 2026-05-10 23:54:23 | [一般] 行为: 向后取物     | 疲劳: 正常
 218. 2026-05-10 23:54:26 | [一般] 行为: 向后取物     | 疲劳: 正常
 219. 2026-05-10 23:54:28 | [一般] 行为: 向后取物     | 疲劳: 正常
 220. 2026-05-10 23:54:30 | [一般] 行为: 向后取物     | 疲劳: 正常
 221. 2026-05-10 23:54:32 | [一般] 行为: 向后取物     | 疲劳: 正常
 222. 2026-05-10 23:54:34 | [一般] 行为: 向后取物     | 疲劳: 正常
 223. 2026-05-10 23:54:36 | [一般] 行为: 向后取物     | 疲劳: 正常
 224. 2026-05-10 23:54:38 | [一般] 行为: 向后取物     | 疲劳: 正常
 225. 2026-05-10 23:54:40 | [一般] 行为: 向后取物     | 疲劳: 正常
 226. 2026-05-10 23:54:42 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 227. 2026-05-10 23:54:44 | [一般] 行为: 向后取物     | 疲劳: 正常
 228. 2026-05-10 23:54:46 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 229. 2026-05-10 23:54:48 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 230. 2026-05-10 23:54:50 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 231. 2026-05-10 23:54:52 | [一般] 行为: 整理仪容     | 疲劳: 正常
 232. 2026-05-10 23:54:54 | [一般] 行为: 整理仪容     | 疲劳: 正常
 233. 2026-05-10 23:54:56 | [一般] 行为: 整理仪容     | 疲劳: 正常
 234. 2026-05-10 23:54:58 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 235. 2026-05-10 23:55:01 | [一般] 行为: 与乘客交谈    | 疲劳: 正常
 236. 2026-05-10 23:55:03 | [一般] 行为: 整理仪容     | 疲劳: 正常
 237. 2026-05-10 23:55:05 | [一般] 行为: 整理仪容     | 疲劳: 正常
 238. 2026-05-10 23:55:08 | [一般] 行为: 整理仪容     | 疲劳: 正常
 239. 2026-05-10 23:55:10 | [一般] 行为: 整理仪容     | 疲劳: 正常
 240. 2026-05-10 23:55:12 | [一般] 行为: 整理仪容     | 疲劳: 正常
 241. 2026-05-10 23:55:14 | [一般] 行为: 整理仪容     | 疲劳: 正常
 242. 2026-05-10 23:55:16 | [一般] 行为: 整理仪容     | 疲劳: 正常
 243. 2026-05-10 23:55:18 | [一般] 行为: 整理仪容     | 疲劳: 正常
 244. 2026-05-10 23:55:20 | [一般] 行为: 整理仪容     | 疲劳: 正常
 245. 2026-05-10 23:55:22 | [一般] 行为: 整理仪容     | 疲劳: 正常
 246. 2026-05-10 23:55:24 | [一般] 行为: 整理仪容     | 疲劳: 正常
 247. 2026-05-10 23:55:26 | [一般] 行为: 整理仪容     | 疲劳: 正常
 248. 2026-05-10 23:55:29 | [一般] 行为: 整理仪容     | 疲劳: 正常
 249. 2026-05-10 23:55:31 | [一般] 行为: 疑似打电话    | 疲劳: 人员特征未对齐/光线过暗
 250. 2026-05-10 23:55:37 | [一般] 行为: 正常驾驶     | 疲劳: 闭眼
 251. 2026-05-10 23:55:39 | [一般] 行为: 正常驾驶     | 疲劳: 闭眼
 252. 2026-05-10 23:55:42 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳
 253. 2026-05-10 23:55:44 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳
 254. 2026-05-10 23:55:46 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳
 255. 2026-05-10 23:55:48 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳
 256. 2026-05-10 23:55:50 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳
 257. 2026-05-10 23:55:52 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳
 258. 2026-05-10 23:55:54 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳 (PERCLOS超标)
 259. 2026-05-10 23:55:56 | [严重] 行为: 正常驾驶     | 疲劳: 极度疲劳 (PERCLOS超标)
